 ,Soil,Month,State,Rice,Wheat,Cotton,Sugarcane,Tea,Ragi,Maize,Millet,Barley,Target
199,2,2,7,0,0,0,1,0,0,0,1,0,48
200,2,2,9,0,0,0,0,0,0,0,1,0,8
201,2,2,10,0,0,0,1,0,0,0,1,0,48
202,2,2,19,0,0,0,0,0,0,0,1,0,8
203,2,2,13,0,0,0,1,0,0,0,1,0,48
204,2,2,14,0,0,0,1,0,0,0,1,0,48
205,2,2,18,0,0,0,1,0,0,0,0,0,4
206,2,3,1,0,0,0,1,0,0,0,0,0,4
207,2,3,7,0,0,0,1,0,0,0,0,0,4
208,2,3,10,0,0,0,1,0,0,0,0,0,4
209,2,3,13,0,0,0,1,0,0,0,0,0,4
210,2,3,14,0,0,0,1,0,0,0,0,0,4
211,2,3,18,0,0,0,1,0,0,0,0,0,4
212,2,4,1,0,0,0,1,0,0,0,0,0,4
213,2,4,7,0,0,0,1,0,0,0,0,0,4
214,2,4,10,0,0,0,1,0,0,0,0,0,4
215,2,4,13,0,0,0,1,0,0,0,0,0,4
216,2,4,14,0,0,0,1,0,0,0,0,0,4
217,2,4,18,0,0,0,1,0,0,0,0,0,4
218,2,5,1,1,0,0,1,0,0,0,1,0,14
219,2,5,2,1,0,0,0,0,0,0,0,0,1
220,2,5,3,1,0,0,0,0,0,0,0,0,1
221,2,5,4,1,0,0,0,0,0,0,1,0,18
222,2,5,5,1,0,0,0,0,0,0,1,0,18
223,2,5,6,1,0,0,0,0,0,0,0,0,1
224,2,5,7,1,0,0,1,0,0,0,1,0,148
225,2,5,8,1,0,0,0,0,0,0,0,0,1
226,2,5,9,1,0,0,0,0,0,0,1,0,18
227,2,5,10,1,0,0,1,0,0,0,1,0,148
228,2,5,11,1,0,0,0,0,0,0,0,0,1
229,2,5,12,1,0,0,0,0,0,0,0,0,1
230,2,5,19,0,0,0,0,0,0,0,1,0,8
231,2,5,13,1,0,0,1,0,0,0,1,0,148
232,2,5,14,1,0,0,1,0,0,0,1,0,148
233,2,5,15,1,0,0,0,0,0,0,0,0,1
234,2,5,16,1,0,0,0,0,0,0,0,0,1
235,2,5,17,1,0,0,0,0,0,0,0,0,1
236,2,5,18,1,0,0,1,0,0,0,0,0,14
237,2,6,1,1,0,0,1,0,0,0,1,0,148
238,2,6,2,1,0,0,0,0,0,0,0,0,1
239,2,6,3,1,0,0,0,0,0,0,0,0,1
240,2,6,4,1,0,0,0,0,0,0,1,0,18
